galaxy,n_rotmod_points,radius_min_kpc,radius_max_kpc,vobs_min_kms,vobs_max_kms,vobs_last_kms,errv_median_kms,v_baryon_050_last_kms,distance_mpc_from_rotmod_header,source_file,hubble_type_T,distance_mpc,distance_error_mpc,distance_method_flag,inclination_deg,inclination_error_deg,luminosity_36_1e9_lsun,luminosity_36_error_1e9_lsun,reff_kpc,sbeff_lsun_pc2,rdisk_kpc,sbdisk0_lsun_pc2,mhi_1e9_msun,rhi_kpc,vflat_kms,vflat_error_kms,quality_Q,rotation_curve_ref,has_master_row,rotation_curve_data_ready,fast_packet_role,source_url,secondary_source_url,claim_boundary
UGC03546,30,0.63,29.23,190.0,262.0,193.0,12.0,91.72896243826156,28.7,data/external/sparc/rotmod_ltg/UGC03546_rotmod.dat,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC03580,47,0.11,27.06,56.2,131.0,124.0,3.02,47.934757222708456,20.7,data/external/sparc/rotmod_ltg/UGC03580_rotmod.dat,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC04278,25,0.14,6.69,5.23,92.8,92.8,4.0,45.51625863359158,9.51,data/external/sparc/rotmod_ltg/UGC04278_rotmod.dat,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC04305,22,0.25,5.52,3.17,37.3,33.0,3.225,33.23266465392145,3.45,data/external/sparc/rotmod_ltg/UGC04305_rotmod.dat,10,3.45,0.17,2,40.0,10.0,0.736,0.007,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC04325,8,0.7,5.59,41.3,92.7,91.5,3.05,43.46634272629801,9.6,data/external/sparc/rotmod_ltg/UGC04325_rotmod.dat,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC04483,8,0.08,1.21,5.11,24.3,24.2,1.69,13.372875532210715,3.34,data/external/sparc/rotmod_ltg/UGC04483_rotmod.dat,10,3.34,0.31,2,58.0,3.0,0.013,0.001,0.26,29.71,0.18,82.57,0.032,1.46,0.0,0.0,2,"Le14,Le12",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC04499,9,0.91,8.18,26.0,74.3,74.3,2.85,39.87276514113361,12.5,data/external/sparc/rotmod_ltg/UGC04499_rotmod.dat,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05005,11,0.78,28.61,14.5,100.0,99.1,10.0,43.08011838423846,53.7,data/external/sparc/rotmod_ltg/UGC05005_rotmod.dat,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05253,73,0.13,53.29,210.0,248.0,218.0,3.84,97.82467071245371,22.9,data/external/sparc/rotmod_ltg/UGC05253_rotmod.dat,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05414,6,0.68,4.11,20.5,61.4,61.4,2.45,33.680883301956314,9.4,data/external/sparc/rotmod_ltg/UGC05414_rotmod.dat,10,9.4,2.82,1,55.0,3.0,1.123,0.028,2.33,32.87,1.47,127.3,0.574,6.65,0.0,0.0,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05716,12,1.03,12.37,39.15,74.7,74.7,1.0350000000000001,29.68314168008501,21.3,data/external/sparc/rotmod_ltg/UGC05716_rotmod.dat,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05721,23,0.09,6.74,16.5,82.6,79.5,4.57,27.869685143539026,6.18,data/external/sparc/rotmod_ltg/UGC05721_rotmod.dat,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05750,11,0.31,22.85,3.1,78.9,78.9,10.0,41.4579111871305,58.7,data/external/sparc/rotmod_ltg/UGC05750_rotmod.dat,8,58.7,11.7,1,64.0,10.0,3.336,0.264,8.8,6.87,3.46,124.98,1.099,16.79,0.0,0.0,1,"dB01,VdH93",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05764,10,0.36,3.62,21.45,55.8,49.9,0.96,21.159426977118258,7.47,data/external/sparc/rotmod_ltg/UGC05764_rotmod.dat,10,7.47,2.24,1,60.0,10.0,0.085,0.006,1.2,9.31,1.17,33.79,0.163,3.51,0.0,0.0,2,vZ97,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05829,11,0.63,6.91,14.8,68.6,68.6,5.06,37.43390041125824,8.64,data/external/sparc/rotmod_ltg/UGC05829_rotmod.dat,10,8.64,2.59,1,34.0,10.0,0.564,0.019,2.91,10.59,1.99,63.22,1.023,7.87,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05918,8,0.56,4.46,16.9,44.5,44.5,3.93,19.715917427297164,7.66,data/external/sparc/rotmod_ltg/UGC05918_rotmod.dat,10,7.66,2.3,1,46.0,5.0,0.233,0.011,2.63,5.36,1.66,24.94,0.297,5.9,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05986,15,0.63,9.41,29.5,116.0,107.0,3.05,44.168261795094445,8.63,data/external/sparc/rotmod_ltg/UGC05986_rotmod.dat,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC05999,5,3.48,16.22,46.2,100.0,100.0,5.0,52.58733212476176,47.7,data/external/sparc/rotmod_ltg/UGC05999_rotmod.dat,10,47.7,9.5,1,22.0,10.0,3.384,0.231,4.83,22.95,3.22,51.62,2.022,15.26,0.0,0.0,2,"dB97,VH93",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06399,9,0.87,7.85,24.8,87.6,87.6,4.9,38.648826631606816,18.0,data/external/sparc/rotmod_ltg/UGC06399_rotmod.dat,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06446,17,0.58,10.22,31.3,84.9,80.1,4.1,36.44171510782663,12.0,data/external/sparc/rotmod_ltg/UGC06446_rotmod.dat,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06614,13,3.23,64.59,170.0,205.0,204.0,16.0,89.3092019335074,88.7,data/external/sparc/rotmod_ltg/UGC06614_rotmod.dat,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06628,7,1.1,7.69,26.9,42.3,42.3,8.27,45.58120116890296,15.1,data/external/sparc/rotmod_ltg/UGC06628_rotmod.dat,9,15.1,4.53,1,20.0,10.0,3.739,0.076,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06667,9,0.87,7.85,26.6,85.7,85.7,3.4,29.77064997610902,18.0,data/external/sparc/rotmod_ltg/UGC06667_rotmod.dat,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06786,45,0.16,34.05,160.0,229.0,211.0,4.72,75.40066047456084,29.3,data/external/sparc/rotmod_ltg/UGC06786_rotmod.dat,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06787,71,0.12,37.19,134.0,276.0,255.0,3.6,84.00206485557364,21.3,data/external/sparc/rotmod_ltg/UGC06787_rotmod.dat,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06818,8,0.87,6.98,23.4,74.4,74.4,5.225,32.26467650542928,18.0,data/external/sparc/rotmod_ltg/UGC06818_rotmod.dat,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06917,11,1.74,10.47,59.2,111.0,111.0,4.0,56.30344261233055,18.0,data/external/sparc/rotmod_ltg/UGC06917_rotmod.dat,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06923,6,0.93,5.16,40.5,81.1,81.1,5.199999999999999,47.91283335391469,18.0,data/external/sparc/rotmod_ltg/UGC06923_rotmod.dat,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06930,10,1.74,16.61,54.7,109.0,108.0,6.6,54.17421342299305,18.0,data/external/sparc/rotmod_ltg/UGC06930_rotmod.dat,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06973,9,1.74,7.85,170.0,180.0,180.0,4.8,128.30729480430955,18.0,data/external/sparc/rotmod_ltg/UGC06973_rotmod.dat,2,18.0,2.5,4,71.0,3.0,53.87,0.347,1.61,3317.65,1.07,12730.05,1.753,11.57,174.2,6.2,3,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC06983,17,1.74,15.68,56.9,113.0,109.0,5.2,49.05923103759373,18.0,data/external/sparc/rotmod_ltg/UGC06983_rotmod.dat,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07089,12,0.87,9.16,20.9,79.1,79.1,4.7,41.61832529066974,18.0,data/external/sparc/rotmod_ltg/UGC07089_rotmod.dat,8,18.0,2.5,4,80.0,3.0,3.585,0.089,3.9,37.4,2.26,520.99,1.214,9.29,0.0,0.0,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07125,13,1.44,18.68,26.1,65.6,64.9,2.35,39.10758046721888,19.8,data/external/sparc/rotmod_ltg/UGC07125_rotmod.dat,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07151,11,0.5,5.5,24.2,76.2,76.2,2.4,44.10468002377979,6.87,data/external/sparc/rotmod_ltg/UGC07151_rotmod.dat,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07232,4,0.21,0.82,16.4,44.0,44.0,3.3,21.408360516396392,2.83,data/external/sparc/rotmod_ltg/UGC07232_rotmod.dat,10,2.83,0.17,2,59.0,5.0,0.113,0.002,0.46,83.34,0.29,227.42,0.046,1.54,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07261,7,0.95,6.67,46.8,76.1,76.1,5.66,38.6675781501764,13.1,data/external/sparc/rotmod_ltg/UGC07261_rotmod.dat,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07323,10,0.58,5.82,23.9,85.6,85.6,3.87,51.74376145971608,8.0,data/external/sparc/rotmod_ltg/UGC07323_rotmod.dat,8,8.0,2.4,1,47.0,3.0,4.109,0.042,3.26,61.49,2.26,283.68,0.722,7.14,0.0,0.0,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07399,10,0.61,6.13,47.3,106.0,106.0,3.1399999999999997,33.6875904451476,8.43,data/external/sparc/rotmod_ltg/UGC07399_rotmod.dat,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07524,31,0.35,10.69,14.4,83.8,79.0,3.26,43.91588323146877,4.74,data/external/sparc/rotmod_ltg/UGC07524_rotmod.dat,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07559,7,0.36,2.53,9.31,32.1,32.1,3.23,19.755074031751942,4.97,data/external/sparc/rotmod_ltg/UGC07559_rotmod.dat,10,4.97,0.25,2,61.0,3.0,0.109,0.004,0.98,17.9,0.58,55.06,0.169,3.76,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07577,9,0.19,1.69,3.74,17.8,17.8,3.17,12.394468524305509,2.59,data/external/sparc/rotmod_ltg/UGC07577_rotmod.dat,10,2.59,0.13,2,63.0,3.0,0.045,0.002,0.77,11.94,0.9,54.55,0.044,2.07,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07603,12,0.34,4.11,19.6,64.0,64.0,2.89,22.656939334340816,4.7,data/external/sparc/rotmod_ltg/UGC07603_rotmod.dat,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07608,8,0.6,4.78,14.6,69.3,69.3,6.69,26.720183382604244,8.21,data/external/sparc/rotmod_ltg/UGC07608_rotmod.dat,10,8.21,2.46,1,25.0,10.0,0.264,0.012,1.6,16.48,1.5,46.65,0.535,6.73,0.0,0.0,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07690,7,0.59,4.13,45.3,60.7,55.9,4.31,31.413132604055903,8.11,data/external/sparc/rotmod_ltg/UGC07690_rotmod.dat,10,8.11,2.43,1,41.0,5.0,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC07866,7,0.33,2.32,12.2,33.1,33.1,4.07,18.420012214979664,4.57,data/external/sparc/rotmod_ltg/UGC07866_rotmod.dat,10,4.57,0.23,2,44.0,5.0,0.124,0.004,0.95,21.92,0.61,97.46,0.118,3.3,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC08286,17,0.47,8.04,22.2,84.3,84.3,2.02,32.6828211756574,6.5,data/external/sparc/rotmod_ltg/UGC08286_rotmod.dat,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC08490,30,0.34,10.15,38.8,80.1,77.6,3.69,26.95830113341714,4.65,data/external/sparc/rotmod_ltg/UGC08490_rotmod.dat,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC08550,11,0.49,5.36,25.0,57.8,57.5,2.05,24.636843344876795,6.7,data/external/sparc/rotmod_ltg/UGC08550_rotmod.dat,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC08699,41,0.22,25.7,152.0,202.0,183.0,5.93,75.08148739869236,39.3,data/external/sparc/rotmod_ltg/UGC08699_rotmod.dat,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC08837,8,0.52,4.2,7.31,48.0,48.0,2.31,29.322014767065376,7.21,data/external/sparc/rotmod_ltg/UGC08837_rotmod.dat,10,7.21,0.36,2,80.0,5.0,0.501,0.015,2.25,15.73,1.72,77.42,0.32,4.75,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC09037,22,2.43,27.96,62.2,160.0,152.0,5.545,98.56869913922979,83.6,data/external/sparc/rotmod_ltg/UGC09037_rotmod.dat,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC09133,68,0.32,108.31,222.0,289.0,229.0,4.484999999999999,91.24482944254979,57.1,data/external/sparc/rotmod_ltg/UGC09133_rotmod.dat,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC09992,5,0.78,3.89,28.1,34.3,34.3,5.66,23.475599033890486,10.7,data/external/sparc/rotmod_ltg/UGC09992_rotmod.dat,10,10.7,3.21,1,30.0,10.0,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC10310,7,1.1,7.74,33.2,73.2,73.2,5.06,39.78895889565345,15.2,data/external/sparc/rotmod_ltg/UGC10310_rotmod.dat,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC11455,36,0.62,41.93,35.1,291.0,266.0,7.025,153.35836641670383,78.6,data/external/sparc/rotmod_ltg/UGC11455_rotmod.dat,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC11557,12,0.33,10.56,4.0,85.0,84.5,7.9,65.1201005834604,24.2,data/external/sparc/rotmod_ltg/UGC11557_rotmod.dat,8,24.2,6.05,1,30.0,10.0,12.101,0.212,4.18,106.86,2.75,337.93,2.605,16.66,0.0,0.0,2,"Sw02,dB01",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
